school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,total_alcohol,parental_education,academic_trajectory
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,True,False,False,False,True,True,False,False,4,3,4,1,1,3,4,0,11,11,1.0,8,Improving
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,False,True,False,False,False,True,True,False,5,3,3,1,1,3,2,9,11,11,1.0,2,Improving
GP,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,0,True,False,False,False,True,True,True,False,4,3,2,2,3,3,6,12,13,12,2.7142857142857144,2,Consistent Performer
GP,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,False,True,False,True,True,True,True,True,3,2,2,1,1,5,0,14,14,14,1.0,6,Consistent Performer
GP,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,False,True,False,False,True,True,False,False,4,3,2,1,2,5,0,11,13,13,1.7142857142857142,6,Consistent Performer
GP,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,False,True,False,True,True,True,True,False,5,4,2,1,2,5,6,12,12,13,1.7142857142857142,7,Consistent Performer
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,False,False,False,False,True,True,True,False,4,4,4,1,1,3,0,13,12,13,1.0,4,Consistent Performer
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,True,True,False,False,True,True,False,False,4,1,4,1,1,1,2,10,13,13,1.0,8,Consistent Performer
GP,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,False,True,False,False,True,True,True,False,4,2,2,1,1,1,0,15,16,17,1.0,5,Consistent Performer
GP,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,False,True,False,True,True,True,True,False,5,5,1,1,1,5,0,12,12,13,1.0,7,Consistent Performer
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,False,True,False,False,True,True,True,False,3,3,3,1,2,2,2,14,14,14,1.7142857142857142,8,Consistent Performer
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,False,True,False,True,True,True,True,False,5,2,2,1,1,4,0,10,12,13,1.0,3,Consistent Performer
GP,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,False,True,False,True,True,True,True,False,4,3,3,1,3,5,0,12,13,12,2.4285714285714284,8,Consistent Performer
GP,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,False,True,False,False,True,True,True,False,5,4,3,1,2,3,0,12,12,13,1.7142857142857142,7,Consistent Performer
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,False,True,False,False,True,True,True,True,4,5,2,1,1,3,0,14,14,15,1.0,4,Consistent Performer
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,False,True,False,False,True,True,True,False,4,4,4,1,2,2,6,17,17,17,1.7142857142857142,8,Consistent Performer
GP,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,False,True,False,True,True,True,True,False,3,2,3,1,2,2,10,13,13,14,1.7142857142857142,8,Consistent Performer
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,True,True,False,True,True,True,False,False,5,3,2,1,1,4,2,13,14,14,1.0,6,Consistent Performer
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,False,True,True,True,True,True,True,False,5,5,5,2,4,5,2,8,8,7,3.4285714285714284,5,Struggling
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,False,False,False,True,True,True,True,False,3,1,3,1,3,5,6,12,12,12,2.4285714285714284,7,Consistent Performer
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,False,False,False,False,True,True,True,False,4,4,1,1,1,1,0,12,13,14,1.0,7,Consistent Performer
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,False,True,True,False,True,True,True,False,5,4,2,1,1,5,0,11,12,12,1.0,8,Consistent Performer
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,False,False,False,True,True,True,True,False,4,5,1,1,3,5,0,12,13,14,2.4285714285714284,6,Consistent Performer
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,False,True,False,True,True,True,True,False,5,4,4,2,4,5,2,10,10,10,3.4285714285714284,4,Consistent Performer
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,True,True,False,True,True,True,True,False,4,3,2,1,1,5,2,10,11,10,1.0,6,Consistent Performer
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,0,False,True,False,False,False,True,True,False,1,2,2,1,3,5,6,10,11,12,2.4285714285714284,4,Consistent Performer
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,False,True,False,False,True,True,True,False,4,2,2,1,2,5,8,11,12,12,1.7142857142857142,4,Consistent Performer
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,False,False,False,False,True,True,True,False,2,2,4,2,4,1,0,11,11,11,3.4285714285714284,6,Consistent Performer
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,True,True,True,True,True,True,True,False,5,3,3,1,1,5,2,12,12,13,1.0,7,Consistent Performer
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,False,True,True,True,True,True,True,True,4,4,5,5,5,5,4,12,11,12,5.0,8,Consistent Performer
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,False,True,True,False,False,True,True,False,5,4,2,3,4,5,0,10,11,11,3.7142857142857144,8,Consistent Performer
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,False,True,False,True,True,True,True,False,4,3,1,1,1,5,2,15,15,15,1.0,8,Consistent Performer
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,False,True,False,True,True,True,True,True,4,5,2,1,1,5,0,13,14,15,1.0,7,Consistent Performer
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,False,False,False,True,False,True,True,False,5,3,2,1,1,2,0,13,12,12,1.0,6,Consistent Performer
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,False,True,False,False,False,True,True,False,5,4,3,1,1,5,4,12,12,12,1.0,5,Consistent Performer
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,False,True,False,True,True,True,False,False,3,5,1,1,1,5,4,11,11,11,1.0,5,Consistent Performer
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,False,True,False,True,True,True,True,False,5,4,3,1,1,4,0,14,14,14,1.0,7,Consistent Performer
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,False,True,False,True,True,True,True,True,2,4,3,1,1,5,4,13,13,13,1.0,8,Consistent Performer
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,True,True,False,True,True,True,True,False,4,3,2,1,1,5,2,11,12,12,1.0,7,Consistent Performer
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,True,True,False,True,True,True,False,False,4,3,1,1,1,2,8,14,13,12,1.0,4,Consistent Performer
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,0,False,True,False,True,False,True,True,True,3,3,3,1,2,3,16,11,11,10,1.7142857142857142,4,Consistent Performer
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,False,True,False,False,False,True,True,True,5,4,3,2,4,5,8,10,11,11,3.4285714285714284,8,Consistent Performer
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,False,True,False,True,True,True,True,False,4,3,3,1,1,5,0,14,15,15,1.0,8,Consistent Performer
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,True,True,False,False,True,True,True,False,5,4,1,1,1,1,0,9,10,10,1.0,4,Improving
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,True,False,False,True,True,True,True,False,4,3,3,2,2,5,14,10,11,11,2.0,4,Consistent Performer
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,True,True,True,True,True,True,True,True,5,2,2,1,1,5,4,10,11,11,1.0,7,Consistent Performer
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,False,True,False,False,True,True,True,False,2,3,5,1,4,3,6,13,12,13,3.142857142857143,6,Consistent Performer
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,False,False,False,True,True,True,True,False,4,2,2,1,1,2,2,17,17,17,1.0,7,Consistent Performer
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,False,True,False,False,True,True,False,False,4,3,3,2,2,5,4,11,12,13,2.0,6,Consistent Performer
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,0,True,True,False,True,False,True,True,False,4,4,4,1,1,3,2,13,12,12,1.0,8,Consistent Performer
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,False,True,False,False,True,True,True,False,4,3,3,2,3,4,0,14,13,13,2.7142857142857144,4,Consistent Performer
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,False,True,False,False,True,True,True,False,4,3,3,1,1,5,0,16,14,16,1.0,6,Consistent Performer
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,0,False,False,False,False,True,True,False,False,5,5,5,3,4,5,4,10,9,9,3.7142857142857144,6,Declining
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,True,True,False,False,True,True,True,False,3,3,4,2,3,5,0,13,12,12,2.7142857142857144,8,Consistent Performer
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,False,False,False,False,True,True,True,False,5,3,4,4,4,1,0,13,12,13,4.0,6,Consistent Performer
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,False,False,False,True,True,True,True,True,5,3,4,1,1,2,2,12,13,12,1.0,3,Consistent Performer
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,False,True,False,True,True,True,True,False,4,3,2,1,1,1,0,15,14,15,1.0,7,Consistent Performer
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,False,True,False,True,True,True,False,False,3,2,2,1,1,5,8,15,15,16,1.0,8,Consistent Performer
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,True,True,False,True,True,True,True,False,4,3,2,1,1,5,0,14,13,14,1.0,3,Consistent Performer
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,False,True,True,False,True,True,True,False,4,2,3,1,1,5,2,16,15,16,1.0,6,Consistent Performer
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,False,True,False,True,True,True,False,False,2,4,4,2,3,4,0,17,16,16,2.7142857142857144,8,Consistent Performer
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,True,True,False,True,False,True,True,True,5,5,5,5,5,5,0,10,10,16,5.0,2,Consistent Performer
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,True,False,False,True,True,True,True,False,4,4,3,1,1,1,0,13,13,10,1.0,3,Consistent Performer
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,True,True,False,True,True,True,True,False,3,4,4,2,4,4,0,14,13,13,3.4285714285714284,7,Consistent Performer
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,True,False,False,True,True,True,True,True,4,4,4,2,4,2,0,13,12,12,3.4285714285714284,7,Consistent Performer
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,False,True,False,True,True,True,True,False,5,4,3,1,2,1,2,16,15,16,1.7142857142857142,7,Consistent Performer
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,False,True,False,True,False,True,True,True,1,3,3,5,5,3,0,11,12,12,5.0,8,Consistent Performer
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,True,True,False,False,True,True,True,False,4,3,3,1,2,5,0,10,9,10,1.7142857142857142,4,Inconsistent
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,True,True,False,False,True,True,True,False,4,1,3,1,3,4,0,11,10,11,2.4285714285714284,4,Consistent Performer
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,False,True,False,False,False,True,True,False,4,4,2,2,3,3,6,15,15,15,2.7142857142857144,4,Consistent Performer
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,False,True,False,False,True,True,True,False,4,3,2,1,1,5,2,13,11,11,1.0,4,Consistent Performer
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,False,False,False,False,True,True,True,False,3,3,3,1,1,3,0,11,9,10,1.0,6,Inconsistent
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,True,True,False,False,False,True,True,True,3,3,4,2,4,5,2,13,11,11,3.4285714285714284,2,Consistent Performer
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,False,False,False,True,True,True,False,False,5,3,2,2,2,5,0,13,13,14,2.0,4,Consistent Performer
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,True,True,False,True,True,True,True,False,4,3,3,2,4,5,4,11,11,11,3.4285714285714284,6,Consistent Performer
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,False,True,False,True,True,True,True,False,4,3,3,2,3,5,0,11,11,11,2.7142857142857144,7,Consistent Performer
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,False,False,False,True,True,True,True,False,3,4,3,1,1,1,0,12,11,11,1.0,4,Consistent Performer
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,False,False,False,False,True,True,True,True,5,2,3,1,3,3,1,13,13,13,2.4285714285714284,4,Consistent Performer
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,True,True,False,True,True,False,True,False,4,5,1,1,1,3,0,9,9,10,1.0,3,Improving
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,False,True,False,False,True,True,True,False,2,4,3,1,2,3,14,12,11,11,1.7142857142857142,7,Consistent Performer
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,True,True,False,True,False,True,True,True,3,2,2,1,3,3,0,11,11,12,2.4285714285714284,5,Consistent Performer
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,True,False,False,False,False,True,True,False,5,3,2,1,2,5,2,10,9,9,1.7142857142857142,5,Declining
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,False,True,False,False,True,True,True,False,4,4,4,1,1,5,4,12,11,11,1.0,5,Consistent Performer
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,False,False,True,True,True,True,True,False,5,3,3,1,3,4,2,13,12,13,2.4285714285714284,4,Consistent Performer
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,False,True,False,True,False,True,True,False,4,3,2,2,3,4,2,13,12,12,2.7142857142857144,2,Consistent Performer
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,False,False,False,False,True,True,True,True,4,4,4,2,3,5,4,12,11,12,2.7142857142857144,8,Consistent Performer
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,False,True,False,False,True,True,False,False,4,3,4,1,2,2,6,13,11,11,1.7142857142857142,4,Consistent Performer
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,False,True,False,True,True,True,True,False,5,3,3,1,3,1,4,15,15,15,2.4285714285714284,6,Consistent Performer
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,False,False,False,True,False,True,True,False,4,4,2,1,1,3,6,12,10,11,1.0,4,Consistent Performer
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,False,True,False,False,True,True,False,False,4,1,3,3,5,5,6,9,9,10,4.428571428571429,8,Improving
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,False,True,False,False,True,True,True,True,4,3,3,1,3,4,2,9,11,11,2.4285714285714284,6,Improving
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,False,False,False,True,True,True,True,False,4,5,5,1,3,1,6,14,13,13,2.4285714285714284,7,Consistent Performer
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,True,True,False,False,True,True,False,False,3,3,3,2,3,2,0,12,13,12,2.7142857142857144,4,Consistent Performer
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,False,True,False,True,True,True,True,False,5,3,3,1,1,1,2,13,14,14,1.0,6,Consistent Performer
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,False,True,False,True,True,True,True,False,4,3,4,1,1,4,2,11,12,12,1.0,4,Consistent Performer
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,True,True,True,True,True,True,True,False,3,1,2,1,1,1,4,13,13,13,1.0,2,Consistent Performer
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,True,True,True,True,False,True,True,False,3,3,3,1,1,4,6,9,11,11,1.0,7,Improving
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,False,True,False,False,True,True,False,True,4,3,5,1,1,5,0,13,12,12,1.0,3,Consistent Performer
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,False,False,False,True,False,True,True,False,5,3,4,1,2,1,4,12,13,13,1.7142857142857142,8,Consistent Performer
GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,True,True,False,False,True,True,True,False,5,3,5,1,1,3,2,12,13,13,1.0,7,Consistent Performer
GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,True,True,False,True,True,True,True,False,4,5,5,5,5,4,12,9,9,8,5.0,8,Struggling
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,False,True,False,True,True,True,True,True,4,4,3,1,1,4,0,16,16,16,1.0,8,Consistent Performer
GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,False,True,True,True,False,True,True,False,5,3,3,1,1,5,2,12,13,12,1.0,8,Consistent Performer
GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,True,True,False,False,True,True,True,False,4,3,5,1,1,2,16,11,10,10,1.0,5,Consistent Performer
GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,False,True,False,True,True,True,True,False,5,4,4,1,1,1,0,16,16,16,1.0,7,Consistent Performer
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,True,False,False,False,True,True,False,False,4,3,3,1,1,4,10,10,10,10,1.0,6,Consistent Performer
GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,True,True,False,False,True,True,True,False,5,1,2,1,1,3,4,10,10,10,1.0,4,Consistent Performer
GP,M,16,U,GT3,T,3,3,services,other,home,father,1,3,0,False,True,False,True,True,True,True,False,5,3,3,1,1,5,4,13,14,14,1.0,6,Consistent Performer
GP,M,15,R,GT3,T,4,4,other,other,home,father,4,4,0,False,True,False,True,True,True,True,True,1,3,5,3,5,1,8,12,10,11,4.428571428571429,8,Consistent Performer
GP,F,16,U,LE3,T,4,4,health,health,other,mother,1,3,0,False,True,False,True,True,True,True,True,5,4,5,1,1,4,2,15,15,14,1.0,8,Consistent Performer
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,mother,1,1,0,False,False,False,True,True,True,True,False,5,5,3,1,1,4,4,13,14,14,1.0,8,Consistent Performer
GP,F,16,R,GT3,T,3,3,services,other,reputation,father,1,3,0,True,True,False,True,True,True,True,False,4,1,2,1,1,2,4,11,11,11,1.0,6,Consistent Performer
GP,F,16,U,GT3,T,2,2,at_home,other,home,mother,1,2,1,True,False,False,True,True,True,True,False,3,1,2,1,1,5,12,8,10,10,1.0,4,Improving
GP,M,15,U,LE3,T,4,2,teacher,other,course,mother,1,1,0,False,False,False,False,True,True,True,False,3,5,2,1,1,3,10,18,17,18,1.0,6,Consistent Performer
GP,M,15,R,GT3,T,2,1,health,services,reputation,mother,1,2,0,False,False,False,True,True,True,True,True,5,4,2,1,1,5,4,10,9,10,1.0,3,Inconsistent
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,father,1,2,0,False,True,False,True,True,True,True,False,5,4,4,1,2,5,6,16,14,14,1.7142857142857142,8,Consistent Performer
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,father,2,2,0,False,True,False,True,True,True,False,False,4,4,3,1,1,2,4,16,15,16,1.0,8,Consistent Performer
GP,M,16,U,GT3,T,3,3,other,services,home,father,2,1,0,False,False,False,True,True,True,True,False,5,4,2,1,1,5,6,14,14,15,1.0,6,Consistent Performer
GP,M,17,R,GT3,T,1,3,other,other,course,father,3,2,1,False,True,False,True,True,True,True,False,5,2,4,1,4,5,14,12,11,11,3.142857142857143,4,Consistent Performer
GP,M,15,U,GT3,T,3,4,other,other,reputation,father,1,1,0,False,False,False,False,True,True,True,False,3,4,3,1,2,4,2,14,13,14,1.7142857142857142,7,Consistent Performer
GP,F,15,U,GT3,T,1,2,at_home,services,course,mother,1,2,0,False,False,False,False,False,True,True,False,3,2,3,1,2,1,0,14,14,14,1.7142857142857142,3,Consistent Performer
GP,M,15,U,GT3,T,2,2,services,services,home,father,1,4,0,False,True,False,True,True,True,True,False,5,5,4,1,2,5,6,14,13,13,1.7142857142857142,4,Consistent Performer
GP,F,16,U,LE3,T,2,4,other,health,course,father,2,2,0,False,True,False,True,True,True,True,True,4,2,2,1,2,5,2,14,12,13,1.7142857142857142,6,Consistent Performer
GP,M,16,U,GT3,T,4,4,health,other,course,mother,1,1,0,False,True,False,True,True,True,True,False,3,4,4,1,4,5,4,12,13,13,3.142857142857143,8,Consistent Performer
GP,F,16,U,GT3,T,2,2,other,other,home,mother,1,2,0,False,False,False,False,True,True,True,True,5,4,4,1,1,5,0,12,11,11,1.0,4,Consistent Performer
GP,M,15,U,GT3,T,3,4,services,services,home,father,1,1,0,True,False,False,False,True,True,True,False,5,5,5,3,2,5,2,9,9,9,2.2857142857142856,7,Struggling
GP,F,15,U,LE3,A,3,4,other,other,home,mother,1,2,0,True,False,False,True,True,True,True,True,5,3,2,1,1,1,0,10,11,11,1.0,7,Consistent Performer
GP,F,19,U,GT3,T,0,1,at_home,other,course,other,1,2,2,False,True,False,False,False,False,False,False,3,4,2,1,1,5,0,9,10,11,1.0,1,Improving
